building_id,iterations,solver_seconds,mean_temp,std_temp,pct_above_18,pct_below_15
42189,14642,10.898903239984065,20.01400174196474,5.763845284956513,72.42490989187024,19.784741690028035
4219,11950,5.010278899222612,16.64346037717406,6.887718741623522,51.1046755559194,40.10806275007419
42193,14708,7.407016597688198,20.013827979817616,5.746465388405528,72.48916600778647,19.604271545382666
42211,11529,6.134746804833412,15.65099032085858,7.194592041728971,44.02584659067185,47.06459559898117
42216,11454,8.692908333614469,15.641885488584085,7.194161123403909,43.98257453876852,47.092622385658466
42243,6862,2.8004542188718915,16.764087628705017,7.1822949299446615,49.94796088849935,41.63539755142286
42245,6898,3.007051505148411,16.596572781969193,7.280687748487203,49.281017217386555,42.59870664956752
42268,14938,7.785348535049707,21.254500258381693,5.172896490390822,80.88181755566707,13.595261288386418
42272,14579,11.068213838152587,18.516754211281928,6.76452669187718,62.9670883133487,29.522693373108886
42302,16748,7.410501435864717,19.356948357947754,6.145920028958959,68.20145587974197,23.929297113886093
42309,13860,7.275549462065101,18.92806193105041,6.287963594900172,64.59868620120838,26.638100164956906
42312,10963,5.879685217048973,18.3261688262449,6.657941019246829,59.231166661170285,31.363431498642395
42316,10853,9.188141958788037,14.707777586272588,6.370174360161523,36.65781078046666,51.744683689236204
42317,7789,3.3270717528648674,12.341587116270887,6.9591167460339385,26.923467703015064,63.97419289288526
42318,8168,4.266093996353447,11.181214120712413,6.639400779494166,21.216694594564604,69.53269783494058
42323,11437,6.276495513040572,13.390295755385253,6.470628572271093,29.63905891699619,57.84085369156601
42324,11285,8.647610703017563,13.358492514250019,6.5646801946828734,29.529781133171213,59.411636601212294
42325,14195,6.575438254047185,12.75726849988493,5.993609079647359,24.045062955599736,64.62734702893749
4234,11396,5.575524230953306,16.73098180307315,6.8358855568922126,50.83591986455982,40.222911963882616
4239,11748,6.008897956926376,14.653244922576746,6.842536375458254,38.50547252625146,52.404022445691425
42392,10358,7.777236393652856,13.649819633630832,6.474784243517619,31.717927471241957,57.434441411581204
42393,10052,4.213342119008303,14.43236441630743,6.707012714684591,36.97176589477835,52.13388708822696
42395,10324,4.865439837332815,14.324617871748574,6.860345365913973,37.09869486519958,54.19167381156521
4243,11792,6.19339350098744,17.014556487988635,6.922542325922066,53.18821188031978,38.2765328266076
42444,15973,11.812643755692989,15.607863681448938,6.4925947308273395,42.940470180513294,45.675458105360825
4245,11355,4.933639565017074,15.6668573961142,6.968614544487813,44.25118397280337,46.24389305224447
42460,18890,10.722804112359881,14.163869557043418,6.8730816553895995,35.75680880330124,54.50894085281981
42469,19245,11.119565967004746,14.579877540409628,6.139975041794134,34.53365302841592,49.91632694491844
42473,17080,12.99422931484878,15.191765934899651,6.9624480360977135,42.077179982257476,48.28902050827114
4249,9472,3.945907512214035,14.853528310358206,7.150041371626919,39.66881389161182,51.70961116556971
4252,9456,4.742597007658333,16.552388829748917,6.9600043703486145,49.71537216645353,41.117687667636176
42521,9289,5.107603714801371,15.683092831582888,7.271170049915031,44.64978303444568,46.890480396298145
42559,9455,7.2436962788924575,15.902085942657218,7.202190196568649,45.376638547641164,46.1512682286929
4258,9294,3.905453810002655,16.442331314716597,6.473916306006205,48.54137887001846,40.115853870889104
426,4212,1.5906259650364518,12.384865093529047,6.866962546669215,26.085531108844528,66.3685705959493
4261,9486,4.919190370012075,17.628833876125118,6.7879497234408355,56.59973287892046,34.67968498134758
42633,11987,9.476613692007959,15.70159329461476,7.127506940986051,46.05778880199951,44.88004847291386
42639,12279,5.684508252888918,16.168724146994712,7.182959313837285,48.73297754876702,43.375046006624956
42717,8442,3.5248843389563262,12.539765915893634,6.617663875626561,25.954264470669607,62.42020778397384
42719,7977,3.838374228682369,10.879039101258197,5.898573234320063,17.047609016220772,75.85448704444913
42722,9367,7.165199911221862,13.765933282997178,6.876474933836377,33.017828828719786,57.79784311114877
4275,6208,2.9608640312217176,7.940207240106488,5.755108152380392,10.48186966520921,86.59746020780118
4277,6251,3.413234573788941,7.833946684248326,5.771448857885979,10.293403371170555,87.30774074007448
42835,8043,3.930290591903031,17.613569500599958,7.102077632832636,57.519297980940884,34.59430238113198
42842,2706,2.0895827510394156,12.004029437653505,6.621656293314873,23.736092696143427,66.87035222228627
42855,8043,3.1857819268479943,17.64355661479967,7.104422594840866,57.73904056063929,34.42738662431621
4288,6210,3.3610172430053353,7.920512985943164,5.651987050932887,10.053064424953044,86.76307007786428
42909,11258,6.058610434178263,16.848777000077053,7.047781831429586,50.197729694287354,40.370666338824684
42944,9978,7.537845645099878,15.442336079997684,7.884410707617467,45.95788287134293,46.99697699441512
4298,12050,5.214466578327119,10.85459949294321,6.56309196352048,18.207361618432145,74.66660903019431
4299,6307,2.961155195720494,8.270003268792196,5.999038675120132,11.308582011750131,85.74897891599514
430,880,0.30173385702073574,12.353599868912813,7.482568028485064,29.819665092314295,61.163589523400596
4300,6181,4.986432034987956,7.703886889691895,5.3440882081590155,9.276377259903661,87.21300470803813
43004,11167,5.0583901149220765,16.867568441779916,7.053379285375057,50.86490813834477,39.97223376333843
4302,10451,5.176280021201819,10.390195103724857,6.665574245573151,18.43815502585871,75.9308608685577
4303,6347,3.5541533972136676,8.25754013768657,5.727159645563762,10.840992730371095,85.57767263102555
43040,9839,7.6181866601109505,15.026264849041569,7.704690178470195,43.29445158082294,49.351510379977626
43063,9835,4.47430341783911,15.925877466860396,8.030467997565683,50.19820592983102,43.38155663172521
43081,10304,5.221909238956869,13.689674740649354,7.675144961936752,34.57552958753535,58.85064831118937
431,963,0.32334787771105766,12.725158086270131,6.157122680774683,24.979352804264586,64.63698475861551
43131,11139,8.221583713777363,15.987784764331984,7.032801084068879,45.31173394345481,44.75098055237784
43206,9210,4.10748291015625,15.06516351649669,7.186420406632695,41.4379581619882,49.9128374754157
4321,11222,5.456946750171483,15.904519265975356,6.848239696996962,44.58415162748538,45.47197657257737
43245,9999,5.607816954143345,15.27901711340971,7.302498344321942,43.157164792708905,48.54821932735648
4325,11176,8.475543840788305,16.432197795897935,6.891826861231733,47.78295366100159,42.46483045432896
4329,11670,5.09197208378464,14.48392687869389,6.873464418913172,36.56179132081287,54.086395561328956
43328,9816,5.215645078103989,15.234930608995443,7.310473844991613,42.9271590332939,48.69816779170685
4337,11660,6.147774036042392,14.532125784940538,7.028620722542105,37.64628099173554,53.08209366391184
